title,chunk
11)  PROMOTER,"11.1  An application to promote a Competition must be made to the ASN of the country in which the  Competition is to take place, which will apply to the FIA. It must be accompanied by written  evidence that the promoter has made arrangements to secure the participation of Competitors,  which arrangements are conditional only upon the FIA entering the Competition on the  Championship calendar."
12)  ORGANISATION OF COMPETITIONS,"12.1  An organiser is a body nominated by the ASN and appointed by the FIA. Upon deciding to grant  an application to hold a Competition, the FIA will invite the relevant ASN to organise it or to  nominate an organiser. If the ASN is not in a position to do so, the FIA may itself appoint an  organiser. The organiser must be a club or body acceptable to the FIA and must enter into an  organisation agreement with the FIA when it applies to organise the Competition."
13)  INSURANCE,"13.1  The promoter of a Competition must procure that all Competitors, their personnel and drivers  are covered by third party insurance in accordance with the FIA requirements.  13.2  Ninety (90) days before the Competition, the promoter must send the FIA details of the risks  covered by the insurance policy which must comply with the national laws in force as well as the  FIA requirements. Sight of the policy must be available to the Competitors on demand.  13.3  Third party insurance arranged by the promoter shall be in addition and without prejudice to  any personal insurance policy held by a Competitor or any other participant in the Competition.  13.4  Drivers taking part in the Competition are not third parties with respect to one another."
14)  FIA DELEGATES,"14.1  For each Competition the FIA will nominate the following delegates:    a)  Safety Delegate.    b)  Medical Delegate.    c)  Technical Delegate.    d)  Media Delegate.    And may nominate:    e)  A representative of the President of the FIA.    f)  A Deputy Race Director.      g)  A Deputy Medical Delegate    h)  An Observer.    i)  A safety car driver.    j)  A medical car driver.  14.2  The role of the FIA delegates is to help the officials of the Competition in their duties, to see  within their fields of competence that all the regulations governing the Championship are  respected, to make any comments they judge necessary and to draw up any necessary reports  concerning the Competition.  14.3  The Technical Delegate nominated by the FIA is responsible for scrutineering. In this respect he  may carry out, or have carried out by scrutineers, at his discretion, any checks to verify the  compliance of the cars entered in the Competition, at any time until the end of the Competition,  without prior request from the stewards or clerk of the course. The Technical Delegate has full  authority over the national scrutineers."
15)  OFFICIALS,"15.1  From among holders of an FIA Super Licence the following officials will be nominated by the FIA:  a)  A minimum of three (3) and a maximum of four (4) stewards, one of whom will be  appointed Chair."
16)  INSTRUCTIONS AND COMMUNICATIONS TO COMPETITORS,"16.1  The stewards or Race Director may give instructions to Competitors by means of special circulars  in accordance with the Code. These circulars will be distributed to all Competitors who must  acknowledge receipt.  16.2  All classifications and results of free practice, qualifying session, sprint qualifying session, sprint  session and the race, as well as all decisions issued by the officials, will be published using the  FIA document management system.  16.3  Any decision or communication concerning a particular Competitor should be given to him  within twenty-five (25) minutes of such decision, and receipt must be acknowledged."
"17)  PROTESTS, APPEALS AND RIGHT OF REVIEW",17.1  Protests shall be made in accordance with the Code and accompanied by a deposit of €2000.  17.2  Appeals shall be made in accordance with the Code and accompanied by a deposit of €6000.
18)  SANCTIONS,"18.1  The stewards may impose the penalties specifically set out in these Sporting Regulations in  addition to or instead of any other penalties available to them under the Code.  18.2  Any driver who receives five (5) reprimands in the same Championship will, upon the imposition  of the fifth, be given a ten (10) grid place penalty for the race at that Competition. If the fifth  reprimand is imposed following an Incident during a race the ten (10) grid place penalty will be  applied for the race at the driver’s next Competition.    The ten (10) grid place penalty will only be imposed if at least four (4) of the reprimands were  imposed for a driving infringement."
"19)  PRESS CONFERENCES, MEDIA OPPORTUNITIES, DRIVERS ACTIVITIES AND NATIONAL ANTHEM","19.1  Day before on track running   a)  Up to six drivers will be selected to participate in official media and promotional activities  (as defined by the Media Delegate) for a maximum duration of one (1) hour during a two  (2) hour period, commencing 23 hours prior to the scheduled start of P1.   i)  Any driver not taking part in an official FIA Press Conference (as designated by the  Media Delegate) must take part in a separate media and broadcast session  organised by their team.  ii)  These separate media sessions will take place in time slots defined by the Media  Delegate and must not be held at the same time as any official FIA Press  Conference.  b)  Within a one (1) hour period commencing 20 hours and 30 minutes prior to the scheduled  start of P1, six (6) drivers must be available for fan engagement activities for a maximum  period of thirty (30) minutes each (this window includes the time required to travel to and  return from the fan activity) within the one (1) hour period. This time period may be  subject to change according to specific event requirements; any changes will be  communicated to the relevant Competitors no later than four (4) weeks in advance.  c)  Each Competitor must provide a summary document to the Media Delegate listing the  name and brief description of all major aerodynamic and bodywork components and  assemblies that have not been run at a previous Competition or TCC and are intended to  be run at the Competition (requirements and format as defined by the Media Delegate,"
20)  MEETINGS,"20.1  At each Competition where a sprint session is scheduled, Meetings, chaired by the Race Director,  will take place three (3) hours before the start of P1, one (1) hour after the end of P1 and one  and a half (1.5) hours after the end of the sprint qualifying session. The first must be attended  by all team managers and the second and third by all drivers and team managers.  20.2  At each Competition where a sprint session is not scheduled, Meetings, chaired by the Race  Director, will take place three (3) hours before the start of P1 and one and a half (1.5) hours  after the end of P2. The first must be attended by all team managers and the second by all  drivers and team managers.  20.3  Should the Race Director consider another meeting necessary it will take place three hours  before the start of the race. Competitors will be informed no later than five (5) hours before the  start of the race. All drivers and team managers must attend."
21)  COVERING OF COMPONENTS DURING A COMPETITION,"21.1  Commencing twenty-nine (29) hours prior to the scheduled start of P1, no screen, cover or other  obstruction which in any way obscures any part of a car will be allowed at any time in the  paddock, garages, pit lane or grid, unless it is clear any such covers are needed solely for  mechanical reasons, which could, for example, include protecting against fire.  21.2  In addition to the restrictions detailed in Article 21.1, the following are specifically not  permitted:    a)  Engine, gearbox or radiator covers whilst engines are being changed or moved around the  garage.    b)  Covers over spare wings when they are on a stand in the pit lane not being used.    c)  Parts such as (but not limited to) spare floors, fuel rigs or tool trolleys may not be used as  an obstruction.  21.3  The following are permitted:  a)  Covers which are placed over damaged cars or components.  b)  A transparent tool tray, no more than 50mm deep, placed on top of the rear wing.  c)  Warming or heat retaining covers for the engine and gearbox on the grid.  d)  A rear wing cover designed specifically to protect a mechanic starting the car from fire.  e)  Covers over the tyre manufacturer’s code numbers (not the FIA bar code numbers).  f)  A cover over the car in the parc fermé overnight.  g)  A cover over the car in the pit lane or grid if it is raining.  h)  Tyre heating blankets as described in Article 10.8.4d) and 10.8.5 of the Technical  Regulations."
22)  DRIVER ADJUSTABLE BODYWORK,"22.1  Driver adjustable bodywork permitted by Article 3.10.10 of the Technical Regulations.  a)  The driver adjustable bodywork may only be activated by the driver in any of the pre- determined activation zones around each circuit. The Race Director may, at his absolute  discretion, disable all such systems.  b)  If the adjustable bodywork is disabled in this way at any time during any of the three  periods of the qualifying session (Q1, Q2, or Q3) or the sprint qualifying session (SQ1, SQ2  or SQ3) it will remain disabled for the remainder of the relevant period.  c)  For the sole purpose of improving overtaking opportunities during the sprint session and  the race the adjustable bodywork may be activated by the driver after he has completed  one (1) lap after the start or following a safety car period.  d)  The driver may only activate the adjustable bodywork in a sprint session or the race when  he has been notified via the control electronics (see Article 8.2 of the Technical  Regulations) that it is enabled. It will be enabled, and may only be used by the driver, if  he is less than one (1) second behind another at any of the pre-determined detection  points around each track.  e)  The system will be disabled by the control electronics the first time the driver uses the  brakes after he has activated the system."
23)  OPERATIONAL PERSONNEL DURING A COMPETITION,"23.1  At each Event during the period beginning twenty-nine (29) hours before the scheduled start of  the first free practice session (P1) and ending two (2) hours after the start of the race, each  Competitor may not have more than a total of fifty-eight (58) team personnel who are  associated in any way with the operation of the cars within the confines of the circuit. However,  during the period starting forty-five (45) minutes before the start of the first formation lap until  fifteen (15) minutes after the scheduled start of the race the number of such operational  personnel is unlimited.  23.2  For the avoidance of doubt race drivers and staff whose duties are solely connected with  hospitality, team motorhomes, sponsors, marketing, public relations, security or driving trucks  to or from the Competition are not considered operational personnel. Furthermore, during each  Restricted Period, non-operational personnel are permitted to:  a)  Load or unload (but not pack or unpack) freight  b)  Prepare equipment solely in support of other racing series  c)  Prepare the presentation of garages for display  23.3  In addition to the fifty-eight (58) personnel described in Article 23.1, each Competitor will be  permitted sixteen (16) individual exceptions during a Championship for trainee personnel,  however, no individual trainee may attend more than three (3) Competitions in this capacity.  23.4  A list of all operational, exempt, trainee and single race personnel must be submitted to the FIA  prior to each Competition using the official template provided by the FIA.  23.5  a)  At each Competition, with the exception of the provisions of Article 23.5d), team  personnel who are associated in any way with the operation of the cars are not permitted  within the confines of the circuit during the restricted periods detailed below in this  Article 23.5e) to 23.5g).   b)  For the avoidance of doubt, race drivers and personnel whose duties are solely connected  with catering, media, marketing and/or loading or unloading (but not packing or  unpacking) freight deliveries are exempt from these requirements.  c)  Boards warning anyone attempting to enter the paddock that the restricted period is in  operation will be placed immediately before the turnstiles at the appropriate times.  d)  Operational personnel specified in Articles 23.1 and 23.3 will be permitted to:"
24)  COMPETITOR FACTORY SHUTDOWN PERIODS,24.1  All Competitors must observe two shutdown periods:
25)  POWER UNIT MANUFACTURER FACTORY SHUTDOWN PERIODS,"25.1  All Power Unit Manufacturers or affiliate to a PU Manufacturer must also observe the shutdown  periods described in Article 24.1 with an exception for factories based in countries where law  and/or unions impose a different closing week. In this case, these factories may replace one  week out of two weeks of the shutdown period specified in Article 24.1a) by the locally imposed  week and have their second shutdown period specified in Article 24.1b) starting no later than  31 December. Power Unit Manufacturers affected by this must make a declaration to the FIA  that the staff concerned will not be permitted to transfer to work in the country that isn’t  shutdown during these periods. In any case Power Unit Manufacturers should notify the FIA of  their intended shutdown periods within thirty (30) days of the start of the Championship.  25.2  During the shutdown periods no Power Unit Manufacturer or affiliate to a Power Unit  Manufacturer may carry out or instruct a third-party supplier to carry out any of the following  activities for or on behalf of the Power Unit Manufacturer:  a)  Any work activity by any employee, consultant or sub-contractor engaged in design,  development or production (excluding any work activity to be undertaken at the circuit in  preparation for the Competition immediately following the shutdown period).  b)  Operation or use of any test bench except as specifically permitted by Article 25.4. During  the shutdown periods no occupancy hours nor operations hours may be incremented  neither unrestricted test bench hours for projects connected to Formula One.  c)  Operation or use of any computer resource for simulations except as specifically  permitted by Article 25.4.  d)  Production or development of Power Unit parts, test parts, car parts, or tooling.  e)  Sub-assembly of Power Unit parts or assembly of Power Units.  25.3  Each Power Unit Manufacturer must notify its suppliers of the dates of its shutdown periods and  must not enter into any agreement or arrangement with the intention of circumventing the  prohibition on the above activities.  25.4  During the shutdown periods the following activities will not be considered a breach of the  above:  a)  The assembly or servicing of Power Units for running show cars, none of which may entail  the production, assembly or servicing of any power unit parts.  b)  Work on any test bench or computer resource for the purposes of maintenance or  modifications to the facility (at the exclusion of any activity defined as Restricted Power  Unit Testing in Appendix 8 of the Sporting Regulations).  c)  Any activity the sole purpose of which is supporting projects unconnected to Formula  One, subject to the written approval of the FIA.  d)  Any activity the sole purpose of which is the maintenance of factory facilities.  e)  Any activity the sole purpose of which is the maintenance of factory IT networks and  associated systems.  f)  Any activity relating to the loading, unloading, and preparation of sea freight, with the  exception of power unit components or assemblies.  g)  Any activity the sole purpose of which is staff wellbeing or entertainment.  h)  ES Charging and/or balancing of an Energy Store containing ES cell(s) may be carried out  with the agreement of the FIA. The DC current involved in these operations is limited to"
26)  GENERAL SAFETY,"26.1  Official instructions will be given to drivers by means of the signals laid out in the Code.  Competitors must not use flags or lights similar to these. In accordance with Appendix H of the  Code, the light signals displayed on the trackside light panels have the same meaning as flag  signals. In accordance with and supplementary to Article 2.5.5b of Appendix H of the Code:  a)  Single Waved Yellow Flag: Any driver passing through a waved yellow flag marshalling  sector must reduce their speed and be prepared to change direction. In order for the  stewards to be satisfied that any such driver has complied with these requirements they  are expected to have braked earlier and/or discernibly reduced speed in the relevant  marshalling sector.  b)  Double Waved Yellow Flag: Any driver passing through a double waved yellow flag  marshalling sector must reduce speed significantly and be prepared to change direction  or stop. In order for the stewards to be satisfied that any such driver has complied with  these requirements it must be clear that the driver has not attempted to set a meaningful  lap time on the relevant lap. Furthermore, during a sprint qualifying or qualifying session,  any driver passing through a double waved yellow flag marshalling sector will have that  lap time deleted.  c)  Double Waved Yellow Flag during a Safety Car or Virtual Safety Car Period: Any driver  passing through a double waved yellow flag marshalling sector during a safety car or  virtual safety car period, in addition to the requirements of b), must stay above the  minimum time set by the FIA ECU in each marshalling sector concerned.   26.2  Save where these Sporting Regulations require otherwise, pit lane and track discipline and safety  measures will be the same for all free practice sessions, the qualifying session, the sprint  qualifying session and sprint session as for the race.  26.3  Other than by driving on the track, Competitors are not permitted to attempt to alter the grip  of any part of the track surface.  26.4  If a car stops on the track, it shall be the duty of the marshals to remove it as quickly as possible  so that its presence does not constitute a danger or hinder other Competitors. Under no  circumstances may a driver stop his car on the track without justifiable reason.  26.5  A driver who abandons a car must leave it in neutral or with the clutch disengaged, with the ERS  shut down and with the steering wheel in place.  26.6  Save as specifically authorised by the Code or these Sporting Regulations, no one except the  driver may touch a stopped car unless it is in the paddock, the Competitors’ designated garage  area, the pit lane or on the starting grid.  26.7  During the period commencing fifteen (15) minutes prior to and ending five (5) minutes after  every free practice session, qualifying session and sprint qualifying session and the period  between the commencement of the formation lap which immediately precedes the sprint  session and the race and the time when the last car enters the parc fermé, no one is allowed on  the track, the pit entry road or the pit exit road with the exception of:    a)  Marshals or other authorised personnel in the execution of their duty.    b)  Drivers when driving or on foot, having first received permission to do so from a marshal."
27)  SPARE CARS,"27.1  Each Competitor may have no more than two (2) cars available for use at any one time during a  Competition, except when all the following circumstances are met:  a)  A car has suffered genuine accident damage, as specified in Article 40.2 g) or has suffered  a significant failure or fault as demonstrated to the Technical Delegate, accepted by the  Technical Delegate as necessitating a change of survival cell.  b)  The Competitor has provided a written request to the FIA to change the survival cell, and  this has been approved by the Technical Delegate.  c)  There are no more than two cars available for one driver at any one time, and this period  is only sufficient to facilitate the change of car.  27.2  In the context of this article, a car is defined as an assembly consisting of:  •  a survival cell,"
28)  POWER UNIT USAGE,"28.1  The only power unit that may be used at a Competition during the 2022-2025 Championship  seasons is a power unit which is constituted only of elements that were in conformity, at the  date they were introduced in the race pool, with the latest submitted and approved  homologation dossier as defined in Appendix 4 of the Technical Regulations.  28.2  Unless a driver drives for more than one (1) Competitor (see Article 28.4 below), and subject to  the additions described below, each driver may use no more than four (4) engines (ICE), four (4)  motor generator units-heat (MGU-H), four (4) turbochargers (TC), two (2) energy stores (ES),  two (2) control electronics (CE), four (4) motor generator units-kinetic (MGU-K) and eight (8) of  each of the four (4) elements constituting a set of Engine exhaust systems during a  Championship. For the purpose of this article a set of Engine exhaust systems is deemed to  comprise the following four (4) elements: primaries LHS, primaries RHS, secondary LHS and  secondary RHS.  28.3  Should a driver use more Power Unit elements than the numbers prescribed in Article 28.2 of  any one of the elements during a Championship, a grid place penalty for the race will be imposed  upon him at the first Competition during which each additional element is used. Penalties will  be applied according to the following table and will be cumulative:  a)  The first time an additional element of each type is used: Ten (10) grid place penalty for  the race.  b)  The next times an additional element of each type is used: Five (5) grid place penalty for  the race.  Any of the seven (7) elements will be deemed to have been used once the car’s timing  transponder has shown that it has left the pit lane.  During any single Competition, if a driver introduces more than one of the same Power Unit  element which is subject to penalties, only the last element fitted may be used at subsequent  Competitions without further penalty.  28.4  If a driver is replaced at any time during the Championship his replacement will be deemed to  be the original driver for the purposes of assessing Power Unit usage.  28.5  After consultation with the relevant Power Unit Manufacturer the FIA will attach seals to each  of the relevant elements of the Power Unit prior to them being used for the first time at a  Competition in order to ensure that no significant parts can be rebuilt or replaced. Exhaust  elements defined in Article 28.2 above should be permanently and uniquely marked, which is  then clearly visible directly or using an optical device in a timely manner when a Power Unit is  fitted to a chassis.  Within two (2) hours of the end of the post-race Parc Fermé additional seals will be applied to  all used power unit elements in order to ensure that they cannot be run or dismantled between  Competitions. The sealing method must be agreed with the Technical Delegate.  Upon request to the FIA, these additional seals will be removed twenty-four (24) hours before  the scheduled start of P1 at the next Competition at which the Power Unit elements are  required. All such Power Unit elements must remain within the Competitor’s designated garage"
29)  VOID,
30)  SUPPLY OF TYRES IN THE CHAMPIONSHIP AND TYRE LIMITATION DURING THE COMPETITION,"30.1  Supply of tyres  a)  The single tyre manufacturer (the appointed tyre supplier) appointed by the FIA must  undertake to provide:  i)  At each Competition, three (3) specifications of dry-weather tyre, one (1)  specification of intermediate tyre, and one (1) specification of wet-weather tyre.  Each of which must be visibly distinguishable from one another when a car is on  the track.  ii)  At certain Competitions where a sprint session is not scheduled, one additional  specification of dry-weather tyre may be made available to all Competitors for  evaluation purposes. Competitors will be informed about such an additional  specification at least one (1) week before the start of the relevant Competition.   iii)  At a maximum of two Competitions where a sprint session is not scheduled,  additional specifications of dry-weather tyres may be made available to all  Competitors for evaluation purposes. Should either of these Competitions be found  to be unsuitable for an effective evaluation of these tyres (due to issues such as  weather), additional dry-weather tyres may be made available at a third  Competition.   30.2  Quantity, selection, and specification of tyres during a Competition  a)  Except for additional tyres that are supplied according to Articles 30.1a)ii), 30.1a)iii),  30.5e), 30.5f), and 30.5o)  i)   At each Competition where a sprint session is scheduled, except the competition in  Monaco, each driver may use no more than twelve (12) sets of dry-weather tyres,  five (5) sets of intermediate tyres and two (2) sets of wet-weather tyres during a  Competition.  For the competition in Monaco, if a sprint session is scheduled each driver may use  no more than twelve (12) sets of dry-weather tyres, five (5) sets of intermediate  tyres and three (3) sets of wet-weather tyres during the Competition.   ii)  At each Competition where a sprint session is not scheduled and additional tyres  are not made available under Article 30.1a)iii), except the competition in Monaco,  each driver may use no more than thirteen (13) sets of dry-weather tyres, five (5)  sets of intermediate tyres and two (2) sets of wet-weather tyres during a  Competition.  For the competition in Monaco, if a sprint session is not scheduled and additional  tyres are not made available under Article 30.1a)iii), each driver may use no more  than thirteen (13) sets of dry-weather tyres, five (5) sets of intermediate tyres and  three (3) sets of wet-weather tyres during the Competition."
